// Cleaned symbols derived from Ollama analysis
// Format: func_XXXXXXXX = 0xXXXXXXXX; // clean_name - brief description (with signature when known)

func_800A1D38 = 0x800A1D38; // gfx_lui - graphics register load
func_800A214C = 0x800A214C; // physics_float_branch - physics float conditional
func_800A2564 = 0x800A2564; // gfx_store - graphics store helper
func_800A27AC = 0x800A27AC; // audio_branch_b - audio conditional handler
func_800A29A8 = 0x800A29A8; // physics_float_branch_b - physics float conditional
func_800A2B30 = 0x800A2B30; // ai_branch_b - AI branch handler
func_800A2D1C = 0x800A2D1C; // gfx_store_b - graphics store helper
func_800A2E64 = 0x800A2E64; // audio_branch_c - audio conditional handler
func_800A30AC = 0x800A30AC; // gfx_lui_b - graphics register load
func_800B8C14 = 0x800B8C14; // collision_check - car collision handler
func_800BAE24 = 0x800BAE24; // physics_calc - physics calculations helper
func_800BD2C8 = 0x800BD2C8; // physics_helper - countdown physics helper
func_800BEAA0 = 0x800BEAA0; // race_logic - countdown/race logic handler
func_800C85F0 = 0x800C85F0; // checkpoint_check - checkpoint area check
func_800C8A00 = 0x800C8A00; // track_logic - track handling logic
func_800C997C = 0x800C997C; // screen_update - state/screen update call
func_800C9AE0 = 0x800C9AE0; // input_handler - controller/init handler
func_800CA3B4 = 0x800CA3B4; // game_update - void game_update(void)
func_800DB81C = 0x800DB81C; // attract_mode - void attract_mode(void)
func_800EC0DC = 0x800EC0DC; // state_helper - countdown/state helper
func_800EDDC0 = 0x800EDDC0; // state_transition - state transition/render helper
func_800F4604 = 0x800F4604; // physics_chunk - large physics routine
func_800F497C = 0x800F497C; // graphics_chunk - graphics routine
func_800F4B8C = 0x800F4B8C; // graphics_chunk_b - graphics routine
func_800F4D94 = 0x800F4D94; // audio_chunk - audio routine
func_800F4FEC = 0x800F4FEC; // ai_chunk - AI routine
func_800F54C0 = 0x800F54C0; // ai_chunk_b - AI routine
func_800F64D4 = 0x800F64D4; // finish_handler - finish/complete handler
func_800F7344 = 0x800F7344; // graphics_chunk_c - graphics routine
func_800F73FC = 0x800F73FC; // audio_chunk_b - audio routine
func_800F7454 = 0x800F7454; // physics_chunk_b - physics routine
func_800F7C28 = 0x800F7C28; // ai_chunk_c - AI routine
func_800F7E70 = 0x800F7E70; // audio_chunk_c - audio routine
func_800F7F44 = 0x800F7F44; // graphics_chunk_d - graphics routine
func_800F8588 = 0x800F8588; // ai_chunk_d - AI routine
func_800F8754 = 0x800F8754; // audio_chunk_d - audio routine
func_800F87AC = 0x800F87AC; // ai_chunk_e - AI routine
func_800F8B70 = 0x800F8B70; // race_helper - race flow helper
func_800F8D9C = 0x800F8D9C; // race_helper_b - race/countdown helper
func_800FBF88 = 0x800FBF88; // countdown - void countdown(void)
func_800FBC30 = 0x800FBC30; // preplay_setup - void preplay_setup(void)
func_800FD464 = 0x800FD464; // game_loop - void game_loop(void)
func_8010FBF4 = 0x8010FBF4; // save_context_stub - stack frame setup helper
func_8010FC1C = 0x8010FC1C; // call_80007C68 - helper calling 0x80007C68 with size 64
func_8010FC2C = 0x8010FC2C; // call_800075E0 - helper calling 0x800075E0 with size 1
func_8010FC34 = 0x8010FC34; // clear_region - zeroes region at 0x8003E928
